date,headline,ratings,reviews
12 February 2021,Marvel masterpiece,10.0,"It is a total marvel masterpiece It has everything action, suspense, humour, etc Wow it is great Thanks marvel for this"
23 January 2021,very weak,3.0,"Probably not my type of show, it has something but it's very boring

3 episodes it's enough for me to know i dont need more"
16 January 2021,Bizarre but great,10.0,"Perfect acting (especially Elizabeth Olsen), intriguing plot. Westview is highly understandable portrayal of post-Endgame Scarlet Witch. She lost everything between Age of Ultron and Endgame. This is her happy ending."
24 December 2021,Why oh why can't there be a 2nd season,7.0,"I hated episode 1 but from episode 2, things slowly built up to a fantastic ending. The storyline and Actors were perfect and continued what Ironman started. In a way I wish the boring ones (e.g. Hawkeye & Falcon/ winter.....) had aired 1st then saved the best e.g. Wandavision, for last."
31 January 2022,the best Marvel series on Disney+ for me,9.0,"Incredible that a year has passed since the premiere of this series and it continues to be the best Marvel series on Disney+ for me. I would put it as first and then Hawkeye and Loki last, as the best Marvel series today. And despite the fact that this 2022 looks promising for new Marvel series, only time will tell us if these new series that will arrive soon will manage to surpass what Wandavision was."
2 May 2023,A great way to start off Phase 4 of the MCU,9.0,"WandaVision is the first of a handful of shows to come to the MCU, kicking off Phase 4 in style. Living suburban lives, super powered beings Wanda Maximoff and Vision are living the life they have always dreamed of, until they begin to suspect that not all is what it seems. The series is colorful, stylish, and often very dark at times for it being in the MCU, bringing us a story unlike no other that's been in the MCU. When it comes to the two leads, Elizabeth Olsen and Paul Bettany as Wanda Maximoff and Vision are the best versions of their MCU characters that they have ever been, making us want more of the both of them together by the time all nine episodes are done. Kathryn Hahn as Agatha Harkness was fine. She was definitely the oddest character of the whole show, but overall was fine. Teyonah Parrish's Monica Rambeau was definitely one of my favorite characters of the show and I can't wait to see her more in the future. I was also glad to see the returns of Jimmy Woo and Darcy Lewis played by Randall Park and Kat Dennings. Overall, this is definitely one of the weirdest, but stylish projects to the MCU, that kicks off Phase 4 in style that also shows that some stories can be shown as TV shows. Rating 9/10."
16 January 2021,Finally! A fresh idea out of Hollywood!,,"Very enjoyable, good humour, great acting and writing...*very classy*!

So much better than most of the other lame series being offered to us from Hollywood lately!"
5 February 2021,Need to see at least 4 eps to 'get',9.0,"Eps 1-3 could be hard going for some (but others will enjoy 'as is').... but when you have ep 4 under your belt, it all comes together.

If someone has seen ep 4, pay attention; if not.... look at another review.

For what its worth, I have watched 1-5 (5 was released today) and I am annoyed I can't get to Ep 6 yet!"
31 March 2021,Not Your Average Marvel Movies,8.0,"After watching the first episode all I could think is Billy Bat. Great manga by Naoki Urasawa. There is mystery written everywhere. I keep guessing what will come next, where this series is going. And the wait paid off after the fourth episode. Still more mystery.

This is not like any other Marvel Movies. It is darker. But don't worry there are still some humor to like. The casting is great, the production is good. With a twist here and there.

My only problem is the episodes are too short. I think they should add more minutes to explain things. Like where is the witches come from. What is inside the book. What is the power of Rambeau. And I wish they make the final with more action. The last fight is not as gritty as other Marvel Movies."
22 January 2021,"Come on , Why don't you like it",,"Wandavision is a good and innovative show which combines mind games with sitcom . This is basically legion but for kids ( so , you will not see and "" adult content "" and "" very confusing and complex story "" that will make your mind messed up) and combined it with friends (but not as funny as friends of course ). Sounds good right . If you dont like it , just give it another shot , maybe you like it . Just my opinion . And Also I think it should be released as a whole season at once since the cliffhanger at the end of all episodes are not good compared to other shows."
21 January 2021,WTF is this!?!,1.0,Is holly weird declining? This was beyond lame...super lame
8 March 2021,Good one!,9.0,
14 September 2021,I cringed all the way,8.0,"I've only watched the first 2 episodes, but i can't watch more. I watched this with my family and all of us felt weird. We was expecting a 'AvengersMovie-Like' tv show, and it wasn't at all."
23 January 2021,A lot of people are overreacting.,9.0,Rate the EPISODES not the whole season! It doesn't make sense to put in a rating and review for the whole season when only 2 or 3 episodes are out. Where's the logic with that??? There's sections where you can go and rate/review the individual episodes. Then when the season is over go and put in a rating for the season. At this point people are just excessively review bombing it.
3 February 2021,A mind blower!,8.0,"I stumbled upon this series by chance. I was born in the late '60s so I just decided to keep watching because I love Marvel's stories. At first, it reminded me of Bewitched who I used to love but this is deliberately overacted with an exaggerated laughing audience in the background. I grew up with sitcoms but I wasn't planning to watch one so, after the first 5 minutes of the second episode, I got bored and stopped watching. Why would Marvel get involved in such nonsense, I asked myself so it was only after I watched the mid season trailer on YouTube that I decided to continue watching and now I'm hooked. If you are patient, things will start to unfold in a very unexpected way."
15 January 2021,Give it a chance! Brilliant premise!,8.0,"Seriously, you cannot get the gist of a show after two episodes, and just over one hour of broadcast. Jeez. From what I've seen, it looks like it's going to be really interesting. I'm curious to see what's going to happen and who is responsible for Wanda and Vision being trapped, and why? I feel there is so much more to come, especially after the clues in that second episode. It's funny, too. Loved the guest turns from Debra Jo Rupp and Emma Caulfield Ford. Bring it on!"
16 January 2021,I know I should like it...!!!,,"Every review says I should like it, it's great, it's a pastiche of the old 1950's comedy classics but somehow misses the point which is what it's supposed to do I guess? After only 2 episodes my question is still 'why' so I'll have to wait and see."
6 March 2021,Reviewed after watching ALL episodes,5.0,"By the end, I was reminded of Agents of SHIELD (and the tenuous connection with the movies), where it was noticeable this was made for TV in the script, storytelling and scope.. I would compare this to the lesser quality plots in the ANT MAN films, except it wasn't as fun.

The series started great (the first 3 episodes are amazing in what it is doing), with a good mystery and a lot of interesting questions to be answered. Then, was VERY disappointed when reaching the final episodes and my expectations were a lot higher that what was portrayed on screen. There is no ""game changer"" (or at least doesn't feel like there is), or lasting consequences. Pretty much everything goes back to the way it was. You can't start it that way and not deliver.. that is your ONE job! To blow people away with the revelations. It only gives you Evan Peters for a few episodes, and Photon (which I expect to return to normal, like everything else).

NITPICK :




Dr Strange is going to have to work really hard to make me care about this show. EDIT: It didn't."
17 January 2021,Super boring,4.0,Really hard to get through first 2 episodes. They aren't that funny or intriguing maybe the show will pick up in later episodes. I think it's a mistake releasing this weekly as it's not gripping enough so far for me to want to follow this show
15 January 2021,Finally!,10.0,Marvel Studios' first series and starts on the right foot!
3 February 2021,Please keep on watching after episode 2,9.0,Title says it all. Some easter eggs in episode 1 and 2 but I understand how they might not be your cup of tea. But as of episode 3 I was really intrigued. And by episode 4 I was actually pretty sold. The build up is done really well. Will update grade at end of season but as of now it's a pretty Solid 7/10.
15 January 2021,Too Soon To Speculate But Here Are My Thoughts,5.0,
22 January 2021,Wow,10.0,"This thing is really starting to get interesting. I'm a fan of the whole sitcom thing, but those last 5 minutes.. just wow"
15 January 2021,Massive contradiction to the mcu,1.0,
15 January 2021,Fantastic start to a superhero mystery,10.0,"A very promising intriguing start for WandaVision. Can't wait for the rest of the episodes. Most probably they are in an alternate dimension, or Wanda did her magics. I'm guessing the timeline was just before the Infinity war, or after Vision's death? I feel sorry for many laughable bombing reviews from haters that gave 1, 2, 3. Most probably are from brain damaged haters or DC fan boys. Well let me tell you this, still is so much better and entertaining than Wonder Woman 1984."
5 March 2021,Creative and charming but the pacing was dragged out and is a bit pandering. Feels like a filler that sets up a story we have still yet to see.,7.0,"ATTENTION -- MILD, MILD SPOILERS AHEAD:

We have seen the folks at Marvel go above and beyond to create their universe and we thought long were the days were they'd need to overexplain things to tell a great story. Everything about this show screamed psychic madness, magic extravaganza, fun old TV show callbacks and a dark storyline to deepen the character of Wanda; and yet we are left with a well-introduced engaging mystery that leads to what seems like a bland resolution to such an enticing premise.

I was aware Marvel would not risk telling a story that would shift the pieces of their expertly crafter universe right off the bat. But when they showed the weird teasers for WandaVision and knowing what I know about the character... It was on. I thought that after a huge event such as the Infinity Saga they'd go for a more ""down to earth"" story. However, comicbook fans that know what this story is (or was meant to be in the comics) and its relevance to not only the character of Wanda but many other characters Marvel has yet to introduce to the MCU...; would understand how this could have been a missed opportunity for that very purpose. And by saving it only at the very last minute (literally) doesn't make up for it.

Masking itself with tenderly family everyday-life TV callbacks to develop a much darker story of loss, the tones don't mix. The devastation of what happened with Thanos left a shockwave in the universe and one of the most affected person was Wanda. The outcome of this 9-episode story was too little to make this sitcom-runtime length of laughtracking bland episodes bearable. You cannot tell a dark story such as coping with death while trying to build a mystery surrounding a reality-altering story filled with TV references centering in humor. And not even funny humor but a charming quirky one that almost makes this show a Disney Channel Original. Not to mention the slap on the face it gives to fans of the character of the Scarlet Witch at the very end.

It reminds of the Civil War storyline adaptation. It was a great movie and well suited to the conflict that was brewing in the team, however the conflict set up was understandably ignored once Thanos came into play, leaving no lasting effect on the team; something which had the complete opposite effect on the comicbook storyline. I am aware these are ""adaptations"" and because of that they never meant to tell the same exact stories as in the comics. But I ask you, where do we draw the line between an adaptation faithful to the intent and purpose of the storyline it is adapting and the crafting of a completely knew one? When does the later changes so much as to become a new and different story masquerading as the old one but devoid of the same intent?

You all remember that Dumbledore scene in Harry Potter and the Goblet of Fire, he wasn't angry in the books because it doesn't fit the character to get angry like that. Marvel Studios: you can make your own Marvel Universe with your own interpretations of the stories and characters, but mind the fact that if you want to pull them closer to their comicbook counterparts beware, at some point you'll be faced with a hard choice. Comicbooks have been and are still weird, and it's not surprising that some of the more lore-y stuff will not be apt for the average viewer. Not unless it's done properly. And again, so far the numbers have spoken: the audience can understand pretty messed up things. There's been some really conceptually complex stuff introduced in the MCU and so far everyone is on board, let's keep that up. Don't pander to the audience, don't treat them like dummies, we know what's up. Don't use 3 episodes to tell us that Wanda is in pain for the loss of Vision, that we already know. Tells us what she does about it in an uplifting heroic tale or let us wallow in her grief in a dramatic dark story, but don't try to mix both and expect a strong emotional reaction to both.

WandaVision had so so much potential, and it is receiving a 7 because this is not a bad show, not at all. THe story is engaging, the artistry and vision behind it, cinematography and narrative was engaging and original. It really did feel like you were watching and MCU movie. However, when you give a runtime of 9 episodes with a couple of them with more than a 30 minute runtime (not 38, because 7 minutes were for credits) it's a lot of minutes to tell more than what we actually had. I would have totally buyed into this ""going from sitcom era to sitcom era"" sort of storyline and perhaps dig more into those TV callbacks, however there were more storylines being told here and all of their tones were not juggled with very well.

And that was perhaps the biggest mistake people like me did. We were expecting too much of this show. I personally thought it would explain and introduce many concepts that could revolutionise the MCU, and in a way it did. But I asume it left out the best part for another occasion and that is playing with the expectations and, in my case, the patience of the audience. I am not going to watch 3 seasons of Frodo and Sam walking to Mordor. Extending the story will damage the pacing of it and that's a nono. Don't make us waste our time with slow narratives, these only work for deep and complex storylines that need pauses and silences to be impactful. Make short stories or make each episode be its own thing, have its own message, but if you are telling an overarching storyline WITH a mystery brewing, you need to give more. I really ended up finding onlt 30% of the chapter was actual substance, the rest was decor and presentation.

IN CONCLUSION, it's an interesting and engaging story that uses a very unique way to present its conflict. The cinematography is decent for a TV show and the characters, storyline and effects are well-realised. Not a bad first Marvel Studios TV show. We'll see what the rest of the shows have in store for us. I personally think this show was potentially one of the more interesting ones and it has been, I only hope the rest keep up the quality of this one. However, I will say that the pacing of the story was dragged by the runtime and that it mostly felt like a filler show, presenting characters that will play a bigger role in the future and with a big bombastic final showdown that lacked any stakes; and left almost no consequences to its outcome. Perhaps a too ""down to earth"" story after the epic Thanos time-travelling quest that changes the universe forever we had just witnessed. I guess anything now will look a bit bland in comparison. And at least this show had magic involved which is still uncharted territory to dig more into, I don't want to know about the rest of the shows. I guess time will tell."
30 January 2021,Actively Breaks The MCU Formula,8.0,"I got to say, I'm really impressed with WandaVision. From the trailers alone, I knew we were in for something new and I have yet to be disappointed. I love the MCU but admittedly, it has been getting a bit stale on me after watching a decade worth of movies with essentially the same formulaic structure. However, WandaVision has been rejuvenating my love for the MCU again because it goes out of its way to be different. The acting in this show is also really good too, with special shout-out to Elizabeth Olsen as the lead. This is her best portrayal of Wanda Maximoff yet and she provides so much range. This show is a slow-burner, so don't come in expecting standard Marvel action right away. The show is clearly building up to a bigger arc. Also, just a quick mention of the show being a homage to various sitcoms ranging from the 50s to the 70s, it is something I appreciate growing up as a Nick-at-Nite kid. Anyway, I'm looking forward to where the show is going to take us and right now, it's just nice to enjoy the ride."
8 March 2021,Surprisingly Excellent,8.0,"I was unsure in the first two episodes, but the next five were all fantastic! (The final two were good, but not my favourites).

I will admit the series does seem to require a decent knowledge of the Marvel Cinematic Universe (which would limit potential viewers), but the mystery being built and the sheer detail in planning required by the shows creators are masterful!"
26 January 2021,holy hell what a s***show,1.0,It was not funny. It had no super heros. It was not artsy. Just bad writing. Shot in 4:3 (you're literally watching the episode on half your TV set). Its just bad. Had to turn it off after 10 minutes.
5 February 2021,Waiting for more,10.0,
18 February 2021,Big thanks to my brother for making my watch this because...WOW,10.0,"So, my brother had forced me and my mom to watch this. (Neither of us really like marvel after what happened in Endgame) He said he wanted to see what all the hype was about.. (Just know that me and my mom had watched this and had to turn it off at episode 2 because of how bad it was) So we were watching because he was in control of the remote and slowly it started getting better and better around episode 3. AND MAN, WHEN WE GOT TO EPISODE 4. IT WAS ALL EYES ON THE TV. WOW IT WAS AMAZINGGGG. GEEZ. NOW IM SITTING HERE WAITING FOR THE NEXT EPISODE TO COME OUT ON FRIDAYYYY. P.S - The ads are sooo corny but what we slowly noticed is, most of them are hints."
15 January 2021,What is wrong with you people?!,8.0,"I read some reviews before watching the first episode and kinda got disappointed for I've been waiting a long time for this. However, when I watched it, I realized how stupid and ignorant some people are! I found in it everything everyone is claiming the show doesn't have; it is amusing and funny, and have a well defined path. It's so obvious that the show is not going to be this way to the end so why dont you just hang on to a 5 and then if you didn't like it by the end, give it your wrecking 1?

Seriously, just give things some time to prove themselves. If they couldn't, then go head and destroy them. It is too soon to judge its plot. It is so stupid to say it's not relevant to MCU and to call it rubbish only because you dont like its style.

I honestly dont know what the hell is the matter with you, hating everything you dont like. Understand the difference."
17 August 2021,Awesome,9.0,Great Series with every episode shows a different era of television.
17 December 2021,Watch the entire series before reviewing it!!!,10.0,Before you review it watch the entire series!! Every single one of reviews that gave it 1/10 were written the 15th of January meaning they that had only seen the first two episodes! The series evolves into a real marvel-like series full of suspense and action scenes that will blow you away. Wandavision is a work of art and you shouldn't review it if you haven't even watched half of it.
5 April 2021,Not so good. Not so bad,1.0,It could be better. I think marvel did mistake not working with N.
5 March 2021,WandaVision is a masterpiece,10.0,"This show is truly amazing. It builds up a lot for the next phase of the MCU. You get to see how Wanda really is and what she is capable of. This show shows exactly how strong Wanda is. We got to see how bad her life has been and how she found true love and lost it. The show has humor, action, emotions , a great story and some amazing characters. The show is full of twists and inside jokes. If you are an MCU fan and also a Comic fan, this will blow your freakin mind!

Trust me and watch at least the first 4 episodes until u judge the show, please!"
5 February 2021,Don't judge it by the episodes !,2.0,"A TV series must not be judged by its episodes, especially early ones, but by the intentions of its creators as explained by fan forums and social media recruited reviewers .

Hence, it's silly to call WandaVision a pretentious pile of garbage , with terrible story writing, incompetent screenplay, stereotypical characters played by mediocre actors .

Add a choice of presentation styles that not only are poorly executed, but seem to have been randomly chosen by an inexperienced marketing department with delusions of creative competence , while the production team was rolling their eyes .

But do not judge the content, just because that's what is shown in the first 5 episodes as of now - there is a bigger plan, it will all reveal itsself, and wasting your time now will have been worth it in the end .

Because that's how film making works - complete and utter garbage always turns into a magical experience , and content and competence are so overrated ."
7 March 2021,"I have no idea what is going on, but I am enjoying this so far!",8.0,"We started watching WandaVision last night and I am not a Marvel follower so, I have no idea who Wanda or Vision are, much to the chagrin of my wife and daughter. Based on my lack of Marvel world knowledge, I approached this show with an open mind and watched the first episode mildly annoyed because of the quirkiness factor it has. Usually, I tune out on quirky shows because they always feel forced to be weird just to be weird. A couple minutes into the first episode, I found myself being amused by the situations and feeling nostalgic because of the old school vibe I got from the tone of the show. We found ourselves laughing heartily at the situations Wanda and Vision were encountering. This was great, but what really grabbed my attention was the sinister undertones that began in the second episode. I began to feel uneasy because I truly have no idea what is going to happen, and I know there is a dark storyline that will become more apparent as I continue into this series. We are 3 episodes in and I am looking forward to continuing."
15 January 2021,Clever but nothing happened...,10.0,"Very clever idea and fun to watch but kinda didn't go anywhere over the 2 episodes which is an hour... imagine if nothing happened in a movie for that long...

I still have faith marvel will make this amazing but they better get a wriggle on."
15 January 2021,Not what you expect,2.0,"I have to say I had high hopes for something to watch that was action packed and entertaining, this show falls absolutely so flat on it's face. I have no clue where the 10s or even 9s come from after two episodes. They both were sooooo boring, did nothing to show us their abilities, have Vision scared of noises in the night, REALLY? The lead in to episode two was a hatchet job on the lead in to bewitch from the old days, don't know if any of you noticed that. I just don't find it entertaining as i would a MCU show. It's boring. I'll watch the next couple of episodes and see if it picks up, but if they next two are like the first two, I'd rather stab a pencil in my eyeball."
15 January 2021,Ouch!,1.0,"I just don't get it! I tried! I wanted to like it, but I couldn't make it thru the first show. First bar of 'Old MacDonald', and I was outta there!"
7 January 2022,Wanda fricking sucks,9.0,This show was amazingly written filmed and performed. But for the life of me I can't understand how the military were made out to be the bad guys. Wanda should have been shot and or imprisoned for at least 20 years. She has tortured people for months. Horrible torture. Chick is a more evil villain than Thanos good God. At least he thought he was helping the universe. Scarlet witch sucks. Great show though! Loved it.
19 March 2021,It was fine.,7.0,"They tried something new, and it worked. Good for them."
22 June 2021,"Great show, but you'll have to watch ALL of it!",8.0,"This is actually pretty interesting as a series. I didn't watch it for months, because the trailers made it look so ""50s"" and just looked - on the surface - to be trite.

It is not, and actually extremely good. It's akin to the Sixth Sense in that it tricks you into thinking it's one thing, but by the end, you find it's another. Very clever!

My initial pet peeve was simply this Wanda Maximoff was not, in the comic books telepathic nor telekinetic. Her name in the Marvel comics is The Scarlet Witch (a reference to her early appearances in Marvel, where her costume/outfit was scarlet in color). Wanda is a WITCH, and her powers would be called a ""Chaos Hex,"" akin to Murphy's Law: whatever CAN go wrong, WILL go wrong. She was originally part of Magneto's Brotherhood with her brother, Pietro (Quicksilver), but over the years developed into an extremely powerful Witch. So, this whole thing of changing her powers completely? Not a fan of it at all. And I have had to put that knowledge aside to watch this and not roll my eyes, but I really wish they hadn't changed her powers when she first appeared in the Avenger's movies during The Age Of Ultron. Magic is a pretty cool ability, so why jinx it? But, as I said, starts out as one thing and then it's another.

The further I got into the series, the better it got. So, now, 8 episodes in, it's up to an 9. If it were one of the first 4 episodes, it would be a 5, maybe a 6. As of the last episode, it rose to a 8. I have to say, the writing in the beginning would not have led me to believe I'd give it a 8 by the end. But, presto, change-o!

Now, after watching the entire season, I think it's great. Wanda changes, but I'm not giving away any surprises here. But by the end, it's an 8 for me. It improves with each episode, but you DO have to get past episode 4 before (even thinking about) rating it or you won't ""get it.""

As far as Wanda's powers, I have to revise my viewpoint (I wrote this review initially at episode 4, but fortunately, they haven't posted my review yet, so I had to rewrite it! ) As far as who she was in the comic books, I wasn't pleased with who she was in the Avengers - or even here.. But after the 6th episode (Halloween), you begin to see...nah, you'll have to see it for yourself. Clever surprise, that Halloween episode! Gotta give 'em points for that!

The best part is that Wanda morphs into herself, which you'll discover if you watch it all the way through. . Some minor flaws in the screenwriting in the final episodes, with the standard (but overly long) ""final showdown"" scenes (isn't that the downfall of any action-type movie? Nobody fights (and wins) in 5 or 10 minutes; it always has to last 40 minutes. Or more). And the acting is not exactly stellar throughout (Olsen spends most of her time with a pained, deer-caught-in-the-headlights facial expression). She does not have much range in her acting. And the character of Agatha Harkness is more a caricature than an actual character (she ""plays"" at being evil and witty, but doesn't truly pull it off)! And her laugh is a bit too fake to convince.

By the way, The actual character of Agatha Harkness, who first appeared in the Fantastic Four comic books around 1971 was a witch, too, but not evil. Still the stereotype remains in this series: the witch as a somewhat ""hag-like"" with overly sharp, ""pointy"" nose and features has been perpetrated, as in ""The Wicked Witch of the West"" type. Not necessary to pull off true ""evil."" But written into the script, nonetheless. Not a lot of imagination to this character.

Otherwise, a series that is better in the second half that the first half, and cleverer than it would originally appear. Nicely done."
16 January 2021,"Amazing Show, But Too Short.",9.0,"Such a charming show, that is so well researched and well made. So many little easter eggs. The only negative I have is the length of the episodes. The episodes are short enough as it is, then you realise that 6 minutes of what is already a short running time...is credits. Which is ridiculous. I don't know any other show that would waste 6 mins of good storytelling time on credits that Disney+ prompts you to skip anyway."
11 April 2021,This isn't your average marvel movie,10.0,"This is marvel taking the risk. Marvel be like screw it ""we doing sitcoms"" I wasn't convinced enough when I heard marvel wanted to make Wandavision a sitcom but I was wrong they nailed it on the dot with good writing and direction moving together with the good acting from Elisabeth, Paul, Teyonah Paris, Kathryn Hahn."
8 March 2021,"Good at the beginning and a dope concept, but overly complicated",5.0,"I love the concept of this show and it was cool, but as it went on it go more and more complicated. Now that I've seen the finale, I can tell you none of it made sense. I don't get why the MCU these days has to be just for the hardcore fans. Not of what I saw at the end made any sense, and it feels like I had to be taking notes to get it. Making your movies and tv shows just for hardcore fans is just bad business."
19 March 2021,Slow Burn,8.0,"The first time I tried to watch this show I got precisely 14 mins into episode one and thought what is this pile of **** and turned it off.

Months later my sister of all people (she's not that into super hero's) said I should push through and keep going, it gets better she said. So today I carried on from where I left off and I got to the end of the first episode and had my previous thoughts confirmed it's trash. Still with my sisters praise still ringing in my ears I thought ok lets see episode 2 TLDR still trash.

By the end of episode 4 however things turn around and the end of the season is nothing short of EPIC.

Stop reading about it and go and watch it, I was wrong at the start you will be too watch it until the end the pay off is worth it :D"
12 February 2021,This is awesome!!,10.0,
4 May 2021,Don't really understand the hype.,1.0,"The first 3 episodes are really junk. The next 4 are really rushed. The villain is weak. The plot is pale. You (or just me) doesn't really feel connected to characters except for Wanda & Vision due to us being used to them in Avengers and it is rated 8. But the other show, The Falcon And Winter Soldier has character development, an actual plot, very good reasoning, motives for each character and still rated around 7. I think this show is garbage that just ran on Marvel brand. Take it off and it is just some high school kid who shot the show on budget that is way over the top. I really don't understand the hype.."
16 January 2021,IGNORE THE NEGATIVE REVIEWS,10.0,"How dare people come to this app and leave a negative 1 star review bashing a show that has had 2 episodes? We are finally getting something creative, something different, from the MCU. The first two episodes are a delight! My mom and dad laughed through the whole thing with me, and the actors are lovely.

You can tell this is going to be a long unfolding journey, and the mystery surrounding what's happening is anyone's speculation. It's brilliant.

Watch with an open mind and open heart and I guarantee you'll get real enjoyment from this"
16 January 2021,From someone who used to watch Nick at Night,,"If you are one of those kids that just randomly started watching Nick at night couple decades back, then you know what I'm talking about. Don't expect an avengers infinity war or endgame type theatrics. I honestly think this is like putting a puzzle together. There are a lot of moments where I think this is setting up a much bigger build up. I know there will be a link to the Doctor Strange multi-verse of madness. Don't jump to conclusions. Phase 4 just began. Enjoy it!"
21 May 2021,Very strange but addictive!,7.0,Started really weird and I had no idea where it was going but went along for the ride. The production value kept me hooked and the whole mystery of what is going on almost lost its edge until episode 7 where the cliff hanger really got me! Binge the show - it's worth a watch and helps get you through the lack of marvel movies during the pandemic.
6 February 2021,Dont judge the series on initial 3 episodes.....there is so much more ahead,10.0,Its an 8/10 but i am giving a 10 to improve the overall rating of the show
12 February 2021,Don't listen to bad reviews - absolutely FANTASTIC,10.0,"We watched episode 1 & 2 and were a little 'whaaaaat' but picked up on the subtle elements that hint at what is to come. It is such an intriguing and well done series which keeps you guessing. We look forward to every Friday to watch this, which is a bit like when you were a kid watching a sitcom! So clever."
18 January 2021,Think star wars but for your cousin,9.0,If you've ever put both shoes on the wrong foot that's this i mean. This show had no accuracy but not for a lack of aim. Wandavision is just their names. I pre fer wanda and cosmo of the oddparents . Respectfully
19 March 2021,Beyond dire! Then...,8.0,"So many seemed to be kidding themselves about this drivel, but once you've gotten through the dreadfully written and unfunny sitcom gag (that runs longer than really necessary), the third episode finally kicks in where only the very few clues of previous episodes had hinted at."
28 February 2021,Soooooo good.,9.0,First 3 episodes are a bit of a pain but good things are worth waiting for. This is absolutely fantastic made and the only criticism I got is I wish it was longer ;) such a great show.
14 June 2021,It's alright,6.0,"I do commend Marvel for wanting to try something new rather than sticking to their formula we've seen with their movies in the past decade. However, this show is very mediocre. It gets off to a strong start, but the last two or three episodes are very lackluster and ultimately unfulfilling. There are a ton of plot holes, and with no season two in sight, I doubt they will be explained. Somewhat enjoyable."
6 February 2021,Extremely interesting series,,Starts a little bit weird but if you stay until the end it turns amazing. Episodes 4 and 5 were just incredible
8 March 2021,"Great show, has it's own story whilst connecting with the wider MCU...",,"I've seen some reviews that say this is for hardcore MCU fans only. I'm a moderate fan, I love MCU (mostly) but I'm not married to it. As a average viewer I completely enjoyed the show. It's not a cinematic masterpiece (not least of all because it's a TV show) but it brings something new and refreshing to the MCU. The show dropped enough cliffhanger fairy dust into each episode to keep me coming back for more. There's nothing worse than sequels that have nothing to do with the originals or to a lesser extent sequels that don't tie into any aspect or their former or latter movies/shows. MCU connects things together nicely and gets me excited about future releases.

I came as a curious viewer, I left as a fan."
16 January 2021,Best new series streaming right now!,10.0,"UPDATE: After 6 episodes, the major story developments make this show the best new series streaming right now. The storytelling is creative, imaginative and utterly enjoyable. I completely disagree with the negative reviews that say those that gave this show a high rating just have faith that Marvel Studios will eventually give us a big payoff near the end. I'm actually not a huge MCU fan, but I have enjoyed this show from the very start. I do think that those who gave this show a 1 or 2 review just don't get it. This unique show is brilliantly crafted, clever and fun. I can't wait until Friday when Disney releases the next installment.

I'm amazed by the number of 1 and 2-star ratings. Such low ratings should be reserved for shows that are utterly unwatchable...which this show is not. Quite the opposite. I found it to be a high-quality show that was well-scripted, well acted, very watchable and in keeping with Marvel's brand of entertainment.

The first two installments tell us very little about what it really going on. And, that's the point. They each take a common sitcom plot line (entertaining the boss and his wife for dinner, for example), and weave in hints that not everything is what it seems. Presented with lead protagonists who are enchanting and exude warmth, I want to know why they are there, stuck in a 50's or 60's sitcom, and I can't wait to find out."
15 January 2021,Not perfect but a promising start to phase 4,8.0,Phase 4 is here and while I'm not big on sitcoms. I like the blend of humor and weirdness it balances it very well. It's in no way perfect but it's a very promising start.
19 January 2021,I think this show is some kind of genius.,8.0,"Don't get me wrong, this show is bat**** insane in its idea and execution, but it's also kind of genius. It's both an actual sitcom AND traps the viewer in some kind of Truman Show / Shutter Island parallel narrative that we're only partially privy to. I was super skeptical about it and I've honestly been a little super-heroed out recently, but I absolutely love this show."
15 January 2021,What the hell is this? Another Disney disaster,1.0,"Yes, I've only seen two episodes and yes I realise the premise is based on I Love Lucy crossed with Bewitched. Just one problem, those two shows were brilliant and funny. This series is a heap of rubbish and tries to be something that it will never be... a classic American Sitcom. To be fair I will give another couple of episodes a chance, it to keep me beyond that the show needs to pull a miracle, which sadly I don't think it will be able to deliver. Yet again Disney has failed dismally with established cannon."
5 May 2022,The one where feelings show up,9.0,"I've started the MCU saga 2 months ago and I'm watching the contents in the order of release. Feelings and emotions are not really the main topic of this kind of movies/series, and I'm ok with that.

WandaVision, however, does something different: that's the one missing in the MCU.

The first 3 or 4 episodes might be confusing, but as soon as you get what is possibly going on, empathising with Wanda is easy.

The last 2 episodes were amazing, I felt all her feelings as they were mine (Elisabeth Olsen was great). I hope I'll find more contents in the MCU like this one.

9/10 totally deserved!"
30 January 2021,When creativity gets the production $ it needs...,10.0,"Do you have any idea how hard it is to find content this original, covering this kind of material, with this level of production value? That alone puts this show in the 8/10 range. The only reason somebody would rate this less than 8 is if they haven't followed marvel. After 4 episodes I give it an 8.3/10. How it ends will determine whether that score goes up or down. Unbelievably good stuff."
5 March 2021,Series Review: Nice Little Gem with a few flaws,7.0,"Having just watched the Series Finale I was left with a satisfying ending to an overall nice story outline. Starting the show with the first episodes in that nostalgic while parodic manner was a very amusing way to hook the audience with little to no information about the grand scheme of things. Felt a bit like watching TV from back then whilst reading a mystery book. However, it went a bit off the rails when more and more information got to the viewer and some decisions seemed a bit lazily written without enough imagination. And especially this show had the perfect premise to go bonkers. For instance the villainous characters felt one dimensional or even unnecessary. The emotional ending saved the show however since it tied together the messages the show wants to convey. All in all a nice little show with some really nice ideas, moments and overall message unfortunately sprinkled with underwhelming writing at times."
